Temperature (°C)	Strain Rate Direction 1 (s-1)	Strain Rate Direction 2 (s-1)	Strain Direction 1 (-)	Strain Direction 2 (-)	Process Order (-)	Modulus in MD (MPa)	Yield Strength in MD (MPa)	Modulus in TD (MPa)	Yield Strength in TD (MPa)	Order
-1	-1	-1	-1	-1	-1	2560.0	61.3	2498.1	63.1	14
1	-1	-1	-1	-1	1	2314.8	56.0	2649.5	61.9	9
-1	1	-1	-1	-1	1	2652.9	60.6	2513.7	57.4	32
1	1	-1	-1	-1	-1	2402.1	54.7	2663.3	65.8	8
-1	-1	1	-1	-1	1	2543.3	63.5	2615.7	67.3	11
1	-1	1	-1	-1	-1	2888.5	59.7	2796.2	60.1	25
-1	1	1	-1	-1	-1	2712.5	59.0	2608.9	65.5	5
1	1	1	-1	-1	1	2776.3	61.8	2666.4	58.7	24
-1	-1	-1	1	-1	1	3115.4	79.7	2357.0	58.9	12
1	-1	-1	1	-1	-1	3094.4	65.6	2418.7	59.6	20
-1	1	-1	1	-1	-1	2465.2	54.4	2326.6	58.6	16
1	1	-1	1	-1	1	2955.8	66.5	2245.8	57.8	28
-1	-1	1	1	-1	-1	3040.7	71.9	2238.9	55.1	23
1	-1	1	1	-1	1	3383.4	72.8	2465.2	54.4	15
-1	1	1	1	-1	1	3264.3	72.1	2184.6	53.8	29
1	1	1	1	-1	-1	3294.2	69.4	2487.2	61.8	17
-1	-1	-1	-1	1	1	2487.2	61.8	2951.4	73.3	18
1	-1	-1	-1	1	-1	2511.8	57.6	3320.6	70.9	1
-1	1	-1	-1	1	-1	2285.8	54.9	3071.0	68.4	30
1	1	-1	-1	1	1	2542.5	55.3	3466.7	71.2	4
-1	-1	1	-1	1	-1	2362.7	60.7	3443.1	81.6	2
1	-1	1	-1	1	1	2362.7	62.8	3271.0	70.8	13
-1	1	1	-1	1	1	2274.7	58.5	3311.6	74.9	21
1	1	1	-1	1	-1	2308.6	56.2	3535.1	77.0	7
-1	-1	-1	1	1	-1	2884.8	71.3	2770.3	70.8	19
1	-1	-1	1	1	1	2978.8	69.1	2561.7	71.4	3
-1	1	-1	1	1	1	2873.9	64.6	2834.0	66.5	31
1	1	-1	1	1	-1	2803.4	64.7	2840.4	67.5	27
-1	-1	1	1	1	1	2868.2	73.1	3213.1	74.6	6
1	-1	1	1	1	-1	2490.0	61.2	3259.6	74.3	26
-1	1	1	1	1	-1	2941.4	70.5	3083.5	69.8	10
1	1	1	1	1	1	2285.8	54.9	3071.0	68.4	22
