Stretch Ratio MD (-)	Stretch Ratio TD (-)	Modulus in MD (MPa)	Yield Strength in MD (MPa)	Modulus in TD (MPa)	Yield Strength in TD (MPa)	Order
-1	-1	2455.6	60.9	2499.5	61.4	6
1	-1	3273.9	74.4	2083.3	53.3	5
-1	1	2236.3	57.3	3291.5	72.7	10
1	1	2773.5	66.1	2583.4	61.8	3
-2	0	2243.8	55.9	3386.5	73.7	2
2	0	3162.5	72.9	2534.6	63.8	4
0	-2	3274.3	71.8	2239.6	59.2	7
0	2	2304.2	57.3	3010.7	73.1	12
-2	2	1897.8	51.9	4092.7	84.2	1
2	-2	3860.1	83.0	1986.9	49.7	9
2	2	2632.2	64.5	2649.0	65.5	8
0	0	2572.2	62.1	2368.8	61.7	11
