Aspect Ratio (-)	Temperature (°C)	Extension Rate (mm/min)	Modulus in MD (MPa)	Yield Strength in MD (MPa)	Modulus in TD (MPa)	Yield Strength in TD (MPa)	Order
1	20	1	2769	61	2885	61	10
1	37	1	2553	50	2623	51	6
1	55	1	1063	21	1123	21	22
1	20	5	2889	67	2889	66	9
1	37	5	2583	56	2789	55	5
1	55	5	1156	23	1314	24	23
1	20	10	2751	64	2823	68	27
1	37	10	2374	51	2534	51	21
1	55	10	1672	34	1546	27	26
1.5	20	1	2220	49	3287	70	8
1.5	37	1	1963	42	2839	52	1
1.5	55	1	486	13	1089	20	20
1.5	20	5	2152	54	3448	76	7
1.5	37	5	2105	46	3162	61	2
1.5	55	5	828	15	1277	22	19
1.5	20	10	2165	53	2971	72	15
1.5	37	10	2005	43	2574	50	14
1.5	55	10	1126	19	1399	22	24
2.3	20	1	1959	46	3769	77	12
2.3	37	1	1778	36	3518	64	3
2.3	55	1	808	18	1789	26	16
2.3	20	5	1971	48	3799	79	11
2.3	37	5	1833	41	3601	68	4
2.3	55	5	1195	22	1976	29	13
2.3	20	10	1956	49	3599	74	25
2.3	37	10	1704	41	3261	60	17
2.3	55	10	1139	21	2176	31	18
