Ar (-)	w (µm)	t (µm)	l (µm)	CSA (mm2)	FS (%)	SAR (%)	RCP (kPa)	Order
0.90	101	191	1166	-6.2	3.4	26.7	-6.8	1
0.47	134	161	1001	-8.1	6.8	30.9	-18.9	2
0.52	119	154	1144	-7.0	4.2	30.5	-8.5	3
0.71	124	134	1039	-7.6	5.5	29.9	-13.1	4
2.23	146	169	1009	-8.4	5.8	33.6	-22.8	5
0.61	164	184	1016	-8.4	8.5	37.2	-35.3	6
0.57	179	156	956	-8.8	10.0	38.4	-39.9	7
1.90	189	189	1136	-8.4	6.4	45.5	-32.6	8
1.37	176	104	971	-9.2	7.4	38.3	-23.7	9
1.42	199	126	1084	-8.5	7.2	45.9	-27.7	10
1.94	151	121	1196	-8.1	3.6	39.1	-10.8	11
1.33	116	166	949	-8.1	6.6	26.3	-20.2	12
0.95	139	106	979	-8.6	6.6	31.4	-16.0	13
2.13	186	179	1046	-8.7	7.2	42.4	-36.8	14
1.80	169	146	994	-8.7	6.8	37.6	-29.4	15
1.23	161	176	904	-9.0	9.5	33.8	-45.3	16
1.52	129	144	1189	-6.9	3.1	33.7	-8.8	17
1.61	191	174	941	-9.1	9.5	40.1	-53.9	18
2.04	136	136	964	-8.4	5.8	30.6	-18.1	19
2.18	156	141	1076	-8.9	5.1	37.2	-18.6	20
1.09	194	111	911	-9.0	10.5	39.6	-35.0	21
1.18	141	124	1091	-8.2	4.7	34.4	-13.8	22
2.28	154	164	1174	-7.8	4.1	39.1	-14.5	23
1.28	196	196	1024	-8.8	9.1	43.5	-51.0	24
1.04	184	139	1114	-8.2	6.6	43.9	-24.7	25
1.99	126	114	1054	-7.7	3.9	30.4	-10.5	26
1.47	104	159	1069	-7.0	3.8	25.7	-9.2	27
1.56	131	199	1061	-7.8	4.9	31.6	-20.4	28
2.09	109	151	986	-7.8	4.9	25.4	-12.4	29
0.76	181	109	1129	-8.0	6.7	43.8	-17.4	30
1.75	149	194	934	-8.8	8.0	32.3	-38.0	31
0.66	171	129	919	-8.8	9.7	36.0	-31.6	32
0.99	106	116	926	-7.8	6.1	23.9	-12.9	33
0.42	159	131	1031	-8.9	7.5	36.6	-18.6	34
1.66	114	119	1121	-6.9	3.2	28.9	-6.9	35
1.85	111	186	1151	-6.8	3.2	28.9	-8.7	36
0.80	144	149	1181	-7.2	4.6	37.0	-12.1	37
1.71	166	101	1106	-8.5	5.0	40.1	-14.3	38
0.85	121	171	1099	-7.2	4.7	30.2	-12.7	39
1.14	174	181	1159	-7.9	5.9	43.1	-25.7	40
